_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,Date_and_Time,Description,Image_contentType,Image_uriFragment,Location_accuracy,Location_altitude,Location_latitude,Location_longitude,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
86034682-580e-42c2-ad62-f354f8ff7e63,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:08.051000000,anonymous,2012-11-30T15:06:00.000000000,Greenlake,image/jpg,/tables/geotagger/instances/86034682_580e_42c2_ad62_f354f8ff7e63/1372313630167.jpg,,,47.68088862,-122.3291259,FULL,,,,uuid:d40b25fd-1d46-4007-bdd4-07e382c2daf0,
b42608c3-9d9a-4cc0-a75e-fb9a9fa1cb44,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:09.356000000,anonymous,2012-11-30T15:07:00.000000000,Phinney Ridge,image/jpg,/tables/geotagger/instances/b42608c3_9d9a_4cc0_a75e_fb9a9fa1cb44/1372313591953.jpg,,,47.66801164,-122.3553749,FULL,,,,uuid:86796414-8b43-471e-a5c6-6e3d238aff83,
1f9e6f19-c50a-4436-9328-1d70cdb73493,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:10.728000000,anonymous,2012-11-30T15:06:00.000000000,Greenwood,image/jpg,/tables/geotagger/instances/1f9e6f19_c50a_4436_9328_1d70cdb73493/1372313541853.jpg,,,47.68999464,-122.3554331,FULL,,,,uuid:973a532a-4a52-4eb4-be1e-c6ef14ca46ab,
a29165ec-9420-43b8-9b74-57ead2aad7aa,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:12.152000000,anonymous,2012-11-30T15:05:00.000000000,Chandler's Cove,image/jpg,/tables/geotagger/instances/a29165ec_9420_43b8_9b74_57ead2aad7aa/1372313744030.jpg,,,47.62708792,-122.3327497,FULL,,,,uuid:2b462f24-7e58-42aa-a9cf-51f1d510a59f,
c348df6b-f14d-429a-b921-778269bb7f74,geotagger,default,COMPLETE,2014-09-08T20:58:13.306000000,anonymous,2012-11-30T15:05:00.000000000,Kite hill at Gasworks,image/jpg,/tables/geotagger/instances/c348df6b_f14d_429a_b921_778269bb7f74/1372313489416.jpg,,,47.64540379,-122.3363659,FULL,,,,uuid:2a1e864a-6132-4111-bf76-ff5b5dbb7797,
4f45da6e-2084-4c75-900f-f777d7619324,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:15.417000000,anonymous,2012-11-30T15:04:00.000000000,HUB construction,image/jpg,/tables/geotagger/instances/4f45da6e_2084_4c75_900f_f777d7619324/1372310172364.jpg,,,47.65434975,-122.3049898,FULL,,,,uuid:54dbaf4a-ada5-419c-9201-a05c6c6c2e02,
59de1133-5d85-4e8e-83cd-962937031aba,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:16.416000000,anonymous,2012-11-30T15:05:00.000000000,Home,image/jpg,/tables/geotagger/instances/59de1133_5d85_4e8e_83cd_962937031aba/1372313808504.jpg,,,47.64634424,-122.3364495,FULL,,,,uuid:2ac2a117-32c6-4ad5-a5d6-99001513afd8,
4acac34a-5be6-44da-bf3c-ea0b4f6cee29,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:17.535000000,anonymous,2012-11-30T15:06:00.000000000,The Ave,image/jpg,/tables/geotagger/instances/4acac34a_5be6_44da_bf3c_ea0b4f6cee29/1372313521315.jpg,,,47.65824883,-122.3131459,FULL,,,,uuid:19346d98-98de-4249-b86d-589f04ab01d4,
3ccc728d-52a4-44be-bb1a-5d8e903536d1,tablesId_geotagger,default,COMPLETE,2014-09-08T20:58:19.115000000,anonymous,2012-11-30T15:07:00.000000000,Fremont Bridge,image/jpg,/tables/geotagger/instances/3ccc728d_52a4_44be_bb1a_5d8e903536d1/1372313770836.jpg,,,47.64888655,-122.3515668,FULL,,,,uuid:048a312d-67d6-48f2-8154-8b210fb63178,
uuid:3da13695-fceb-404e-8956-00f264a0341e,geotagger,default,COMPLETE,2014-09-08T20:58:19.997000000,anonymous,2014-08-29T15:57:00.000000000,OpenDataKit Software Laboratory,image/jpg,tables/geotagger/instances/uuid_3da13695_fceb_404e_8956_00f264a0341e/1409327978416_mac_10_bf_48_ed_43_45.jpg,30,0.00E+00,47.6540564,-122.3066362,FULL,,,,uuid:288f8869-341f-49b4-939a-b6b505d0de3a,
